Device Name,WEATHER - 2414781
Device Model,5500L
Serial Number,2414781
FORMATTED DATE_TIME,Temperature,Wet Bulb Temp,Relative Humidity,Barometric Pressure,Altitude,Station Pressure,Wind Speed,Heat Index,Dew Point,Density Altitude,Crosswind,Headwind,Compass Magnetic Direction,Compass True Direction,Wind Chill
yyyy-MM-dd hh:mm:ss a,°C,°C,%,mb,m,mb,km/h,°C,°C,m,km/h,km/h,Deg,Deg,°C,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
2023-09-15 02:53:19 PM,21.0,14.9,52.8,992.0,176,992.0,0.0,20.5,11.0,487,--,--,--,--,21.0,session,"Session - Sep 15, 2023 2:53:18 PM",2023-09-15 02:53:18 PM 2:53:18 PM,00:02:58,,,,Enter Notes
2023-09-15 02:53:24 PM,21.1,14.9,52.5,992.2,173,992.3,1.2,20.4,11.0,484,--,--,--,--,21.0,session,"Session - Sep 15, 2023 2:53:18 PM",2023-09-15 02:53:18 PM 2:53:18 PM,00:02:58,,,,Enter Notes
2023-09-15 02:53:29 PM,21.2,14.9,51.4,991.7,178,991.8,0.0,20.7,10.8,493,--,--,--,--,21.2,session,"Session - Sep 15, 2023 2:53:18 PM",2023-09-15 02:53:18 PM 2:53:18 PM,00:02:58,,,,Enter Notes
2023-09-15 02:53:34 PM,21.3,14.9,50.5,991.7,178,991.8,0.0,20.7,10.6,496,--,--,--,--,21.2,session,"Session - Sep 15, 2023 2:53:18 PM",2023-09-15 02:53:18 PM 2:53:18 PM,00:02:58,,,,Enter Notes
2023-09-15 02:53:39 PM,21.3,14.9,50.6,991.7,178,991.8,0.0,20.7,10.6,495,--,--,--,--,21.2,session,"Session - Sep 15, 2023 2:53:18 PM",2023-09-15 02:53:18 PM 2:53:18 PM,00:02:58,,,,Enter Notes
2023-09-15 02:53:44 PM,21.3,15.2,53.1,991.9,177,991.9,0.0,20.8,11.5,496,--,--,--,--,21.2,session,"Session - Sep 15, 2023 2:53:18 PM",2023-09-15 02:53:18 PM 2:53:18 PM,00:02:58,,,,Enter Notes
2023-09-15 02:53:49 PM,21.2,15.4,55.2,991.7,178,991.8,0.0,20.8,11.9,498,--,--,--,--,21.2,session,"Session - Sep 15, 2023 2:53:18 PM",2023-09-15 02:53:18 PM 2:53:18 PM,00:02:58,,,,Enter Notes
2023-09-15 02:53:54 PM,21.1,15.4,55.5,991.7,178,991.7,0.0,20.8,11.9,497,--,--,--,--,21.1,session,"Session - Sep 15, 2023 2:53:18 PM",2023-09-15 02:53:18 PM 2:53:18 PM,00:02:58,,,,Enter Notes
2023-09-15 02:53:59 PM,21.1,15.3,55.4,991.5,180,991.5,0.0,20.6,11.8,496,--,--,--,--,21.1,session,"Session - Sep 15, 2023 2:53:18 PM",2023-09-15 02:53:18 PM 2:53:18 PM,00:02:58,,,,Enter Notes
2023-09-15 02:54:04 PM,21.1,15.3,54.8,991.5,180,991.5,0.0,20.7,11.7,497,--,--,--,--,21.1,session,"Session - Sep 15, 2023 2:53:18 PM",2023-09-15 02:53:18 PM 2:53:18 PM,00:02:58,,,,Enter Notes
2023-09-15 02:54:09 PM,21.2,15.4,55.4,991.2,183,991.3,0.0,20.8,11.9,502,--,--,--,--,21.2,session,"Session - Sep 15, 2023 2:53:18 PM",2023-09-15 02:53:18 PM 2:53:18 PM,00:02:58,,,,Enter Notes
2023-09-15 02:54:14 PM,21.2,15.7,56.6,991.4,181,991.4,0.0,20.9,12.3,504,--,--,--,--,21.2,session,"Session - Sep 15, 2023 2:53:18 PM",2023-09-15 02:53:18 PM 2:53:18 PM,00:02:58,,,,Enter Notes
2023-09-15 02:54:19 PM,21.2,16.2,60.0,991.2,183,991.2,1.3,21.1,13.2,509,--,--,--,--,21.2,session,"Session - Sep 15, 2023 2:53:18 PM",2023-09-15 02:53:18 PM 2:53:18 PM,00:02:58,,,,Enter Notes
2023-09-15 02:54:24 PM,21.3,16.8,64.6,991.0,184,991.1,0.0,21.2,14.5,517,--,--,--,--,21.2,session,"Session - Sep 15, 2023 2:53:18 PM",2023-09-15 02:53:18 PM 2:53:18 PM,00:02:58,,,,Enter Notes
2023-09-15 02:54:29 PM,21.2,17.0,66.0,990.7,186,990.8,1.4,21.2,14.6,520,--,--,--,--,21.2,session,"Session - Sep 15, 2023 2:53:18 PM",2023-09-15 02:53:18 PM 2:53:18 PM,00:02:58,,,,Enter Notes
2023-09-15 02:54:34 PM,21.3,16.8,64.2,990.7,187,990.7,1.3,21.4,14.3,521,--,--,--,--,21.3,session,"Session - Sep 15, 2023 2:53:18 PM",2023-09-15 02:53:18 PM 2:53:18 PM,00:02:58,,,,Enter Notes
2023-09-15 02:54:39 PM,21.4,16.9,64.7,990.7,187,990.8,0.0,21.4,14.4,523,--,--,--,--,21.3,session,"Session - Sep 15, 2023 2:53:18 PM",2023-09-15 02:53:18 PM 2:53:18 PM,00:02:58,,,,Enter Notes
2023-09-15 02:54:44 PM,21.4,17.4,67.8,990.7,186,990.8,0.0,21.6,15.2,528,--,--,--,--,21.4,session,"Session - Sep 15, 2023 2:53:18 PM",2023-09-15 02:53:18 PM 2:53:18 PM,00:02:58,,,,Enter Notes
2023-09-15 02:54:49 PM,21.4,17.7,70.5,990.7,188,990.7,2.3,21.7,15.8,533,--,--,--,--,21.4,session,"Session - Sep 15, 2023 2:53:18 PM",2023-09-15 02:53:18 PM 2:53:18 PM,00:02:58,,,,Enter Notes
2023-09-15 02:54:54 PM,21.4,17.4,68.3,990.5,189,990.6,0.0,21.6,15.3,530,--,--,--,--,21.4,session,"Session - Sep 15, 2023 2:53:18 PM",2023-09-15 02:53:18 PM 2:53:18 PM,00:02:58,,,,Enter Notes
2023-09-15 02:54:59 PM,21.4,16.8,63.9,990.4,190,990.4,1.7,21.5,14.3,529,--,--,--,--,21.4,session,"Session - Sep 15, 2023 2:53:18 PM",2023-09-15 02:53:18 PM 2:53:18 PM,00:02:58,,,,Enter Notes
2023-09-15 02:55:04 PM,21.4,16.2,59.6,990.2,191,990.3,0.0,21.2,13.2,524,--,--,--,--,21.3,session,"Session - Sep 15, 2023 2:53:18 PM",2023-09-15 02:53:18 PM 2:53:18 PM,00:02:58,,,,Enter Notes
2023-09-15 02:55:09 PM,21.4,15.7,56.4,990.2,191,990.2,0.0,21.1,12.3,521,--,--,--,--,21.3,session,"Session - Sep 15, 2023 2:53:18 PM",2023-09-15 02:53:18 PM 2:53:18 PM,00:02:58,,,,Enter Notes
2023-09-15 02:55:14 PM,21.3,15.4,53.9,990.2,191,990.3,0.0,21.0,11.6,517,--,--,--,--,21.3,session,"Session - Sep 15, 2023 2:53:18 PM",2023-09-15 02:53:18 PM 2:53:18 PM,00:02:58,,,,Enter Notes
2023-09-15 02:55:19 PM,21.4,15.1,52.3,990.0,193,990.0,1.2,21.0,11.2,520,--,--,--,--,21.4,session,"Session - Sep 15, 2023 2:53:18 PM",2023-09-15 02:53:18 PM 2:53:18 PM,00:02:58,,,,Enter Notes
2023-09-15 02:55:24 PM,21.4,15.1,51.3,989.9,194,989.9,1.3,21.0,11.0,523,--,--,--,--,21.4,session,"Session - Sep 15, 2023 2:53:18 PM",2023-09-15 02:53:18 PM 2:53:18 PM,00:02:58,,,,Enter Notes
2023-09-15 02:55:29 PM,21.5,15.0,50.7,990.0,194,990.0,0.0,21.2,10.9,524,--,--,--,--,21.5,session,"Session - Sep 15, 2023 2:53:18 PM",2023-09-15 02:53:18 PM 2:53:18 PM,00:02:58,,,,Enter Notes
2023-09-15 02:55:34 PM,21.5,15.0,50.4,989.5,196,989.6,0.0,21.2,10.8,528,--,--,--,--,21.5,session,"Session - Sep 15, 2023 2:53:18 PM",2023-09-15 02:53:18 PM 2:53:18 PM,00:02:58,,,,Enter Notes
2023-09-15 02:55:39 PM,21.5,15.0,49.9,989.7,196,989.7,1.3,21.1,10.7,527,--,--,--,--,21.5,session,"Session - Sep 15, 2023 2:53:18 PM",2023-09-15 02:53:18 PM 2:53:18 PM,00:02:58,,,,Enter Notes
2023-09-15 02:55:44 PM,21.6,14.9,49.4,989.7,195,989.7,1.3,21.1,10.5,526,--,--,--,--,21.5,session,"Session - Sep 15, 2023 2:53:18 PM",2023-09-15 02:53:18 PM 2:53:18 PM,00:02:58,,,,Enter Notes
2023-09-15 02:55:49 PM,21.6,14.9,49.1,989.5,197,989.6,1.7,21.1,10.5,529,--,--,--,--,21.6,session,"Session - Sep 15, 2023 2:53:18 PM",2023-09-15 02:53:18 PM 2:53:18 PM,00:02:58,,,,Enter Notes
2023-09-15 02:55:54 PM,21.6,14.8,48.8,989.7,196,989.7,0.0,21.1,10.3,527,--,--,--,--,21.5,session,"Session - Sep 15, 2023 2:53:18 PM",2023-09-15 02:53:18 PM 2:53:18 PM,00:02:58,,,,Enter Notes
2023-09-15 02:55:59 PM,21.6,14.8,48.5,989.5,197,989.5,0.0,21.1,10.3,531,--,--,--,--,21.6,session,"Session - Sep 15, 2023 2:53:18 PM",2023-09-15 02:53:18 PM 2:53:18 PM,00:02:58,,,,Enter Notes
2023-09-15 02:56:04 PM,21.7,14.9,48.6,989.2,200,989.2,1.3,21.2,10.4,538,--,--,--,--,21.7,session,"Session - Sep 15, 2023 2:53:18 PM",2023-09-15 02:53:18 PM 2:53:18 PM,00:02:58,,,,Enter Notes
2023-09-15 02:56:09 PM,21.7,14.9,48.9,989.2,200,989.3,1.4,21.1,10.5,535,--,--,--,--,21.6,session,"Session - Sep 15, 2023 2:53:18 PM",2023-09-15 02:53:18 PM 2:53:18 PM,00:02:58,,,,Enter Notes
2023-09-15 02:56:14 PM,21.7,15.1,50.2,989.2,200,989.2,0.0,21.3,10.9,538,--,--,--,--,21.7,session,"Session - Sep 15, 2023 2:53:18 PM",2023-09-15 02:53:18 PM 2:53:18 PM,00:02:58,,,,Enter Notes
