# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-11-10 11:17:02 EST       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03303280 OHIO RIVER AT CANNELTON DAM AT CANNELTON, IN
# -----------------------------------------------------------------------------------
#
# Data provided for site 03303280
#            TS   parameter     statistic     Description
#        192392       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	192392_00060_00003	192392_00060_00003_cd
5s	15s	20d	14n	10s
USGS	03303280	1975-10-01	94800	A
USGS	03303280	1975-10-02	79900	A
USGS	03303280	1975-10-03	69000	A
USGS	03303280	1975-10-04	74700	A
USGS	03303280	1975-10-05	71700	A
USGS	03303280	1975-10-06	60400	A
USGS	03303280	1975-10-07	43500	A
USGS	03303280	1975-10-08	56900	A
USGS	03303280	1975-10-09	59000	A
USGS	03303280	1975-10-10	53100	A
USGS	03303280	1975-10-11	57300	A
USGS	03303280	1975-10-12	78400	A
USGS	03303280	1975-10-13	85900	A
USGS	03303280	1975-10-14	70300	A
USGS	03303280	1975-10-15	54400	A
USGS	03303280	1975-10-16	48400	A
USGS	03303280	1975-10-17	59900	A
USGS	03303280	1975-10-18	142000	A
USGS	03303280	1975-10-19	236000	A
USGS	03303280	1975-10-20	275000	A
USGS	03303280	1975-10-21	314000	A
USGS	03303280	1975-10-22	317000	A
USGS	03303280	1975-10-23	272000	A
USGS	03303280	1975-10-24	197000	A
USGS	03303280	1975-10-25	148000	A
USGS	03303280	1975-10-26	125000	A
USGS	03303280	1975-10-27	106000	A
USGS	03303280	1975-10-28	87800	A
USGS	03303280	1975-10-29	78100	A
USGS	03303280	1975-10-30	70700	A
USGS	03303280	1975-10-31	65900	A
USGS	03303280	1975-11-01	59900	A
USGS	03303280	1975-11-02	61700	A
USGS	03303280	1975-11-03	58800	A
USGS	03303280	1975-11-04	53400	A
USGS	03303280	1975-11-05	42800	A
USGS	03303280	1975-11-06	43000	A
USGS	03303280	1975-11-07	64800	A
USGS	03303280	1975-11-08	53200	A
USGS	03303280	1975-11-09	39400	A
USGS	03303280	1975-11-10	58300	A
USGS	03303280	1975-11-11	73100	A
USGS	03303280	1975-11-12	69500	A
USGS	03303280	1975-11-13	78000	A
USGS	03303280	1975-11-14	121000	A
USGS	03303280	1975-11-15	176000	A
USGS	03303280	1975-11-16	200000	A
USGS	03303280	1975-11-17	179000	A
USGS	03303280	1975-11-18	133000	A
USGS	03303280	1975-11-19	103000	A
USGS	03303280	1975-11-20	82500	A
USGS	03303280	1975-11-21	78600	A
USGS	03303280	1975-11-22	71200	A
USGS	03303280	1975-11-23	68800	A
USGS	03303280	1975-11-24	71700	A
USGS	03303280	1975-11-25	60400	A
