Device Name,WEATHER - 2406601
Device Model,5500L
Serial Number,2406601
FORMATTED DATE_TIME,Temperature,Wet Bulb Temp,Relative Humidity,Barometric Pressure,Altitude,Station Pressure,Wind Speed,Heat Index,Dew Point,Density Altitude,Crosswind,Headwind,Compass Magnetic Direction,Compass True Direction,Wind Chill
yyyy-MM-dd hh:mm:ss a,°F,°F,%,hPa,m,hPa,m/s,°F,°F,m,m/s,m/s,Deg,Deg,°F,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
2023-09-14 05:34:58 PM,70.0,56.8,44.7,991.5,179,991.6,0.0,68.2,47.5,485,--,--,--,--,69.8,session,"Session - Sep 14, 2023 5:34:54 PM",2023-09-14 05:34:54 PM 5:34:54 PM,00:02:05,,,,Enter Notes
2023-09-14 05:35:03 PM,70.2,57.2,45.7,991.0,183,991.1,0.0,68.9,48.3,496,--,--,--,--,70.2,session,"Session - Sep 14, 2023 5:34:54 PM",2023-09-14 05:34:54 PM 5:34:54 PM,00:02:05,,,,Enter Notes
2023-09-14 05:35:08 PM,70.2,57.4,46.2,991.2,183,991.2,0.0,68.9,48.5,494,--,--,--,--,70.2,session,"Session - Sep 14, 2023 5:34:54 PM",2023-09-14 05:34:54 PM 5:34:54 PM,00:02:05,,,,Enter Notes
2023-09-14 05:35:13 PM,69.9,57.2,46.6,991.2,183,991.2,0.0,68.4,48.6,490,--,--,--,--,69.8,session,"Session - Sep 14, 2023 5:34:54 PM",2023-09-14 05:34:54 PM 5:34:54 PM,00:02:05,,,,Enter Notes
2023-09-14 05:35:18 PM,69.8,57.2,46.9,991.0,184,991.1,0.0,68.2,48.6,488,--,--,--,--,69.6,session,"Session - Sep 14, 2023 5:34:54 PM",2023-09-14 05:34:54 PM 5:34:54 PM,00:02:05,,,,Enter Notes
2023-09-14 05:35:23 PM,69.5,57.2,47.1,991.0,185,991.0,0.0,67.8,48.5,484,--,--,--,--,69.4,session,"Session - Sep 14, 2023 5:34:54 PM",2023-09-14 05:34:54 PM 5:34:54 PM,00:02:05,,,,Enter Notes
2023-09-14 05:35:28 PM,69.5,57.2,47.6,990.7,187,990.8,0.0,68.0,48.7,486,--,--,--,--,69.4,session,"Session - Sep 14, 2023 5:34:54 PM",2023-09-14 05:34:54 PM 5:34:54 PM,00:02:05,,,,Enter Notes
2023-09-14 05:35:33 PM,69.3,57.4,48.0,990.5,188,990.6,0.0,67.8,48.8,485,--,--,--,--,69.3,session,"Session - Sep 14, 2023 5:34:54 PM",2023-09-14 05:34:54 PM 5:34:54 PM,00:02:05,,,,Enter Notes
2023-09-14 05:35:38 PM,69.2,57.2,48.0,990.5,189,990.5,0.0,67.5,48.7,484,--,--,--,--,69.1,session,"Session - Sep 14, 2023 5:34:54 PM",2023-09-14 05:34:54 PM 5:34:54 PM,00:02:05,,,,Enter Notes
2023-09-14 05:35:43 PM,69.1,57.0,47.9,990.2,190,990.3,0.0,67.5,48.6,483,--,--,--,--,69.1,session,"Session - Sep 14, 2023 5:34:54 PM",2023-09-14 05:34:54 PM 5:34:54 PM,00:02:05,,,,Enter Notes
2023-09-14 05:35:48 PM,69.1,56.8,47.9,990.2,191,990.2,0.0,67.5,48.6,484,--,--,--,--,69.1,session,"Session - Sep 14, 2023 5:34:54 PM",2023-09-14 05:34:54 PM 5:34:54 PM,00:02:05,,,,Enter Notes
2023-09-14 05:35:53 PM,69.1,56.8,47.9,990.0,192,990.1,0.0,67.5,48.6,485,--,--,--,--,69.1,session,"Session - Sep 14, 2023 5:34:54 PM",2023-09-14 05:34:54 PM 5:34:54 PM,00:02:05,,,,Enter Notes
2023-09-14 05:35:58 PM,69.1,56.8,47.9,990.0,194,990.0,0.0,67.5,48.6,487,--,--,--,--,69.1,session,"Session - Sep 14, 2023 5:34:54 PM",2023-09-14 05:34:54 PM 5:34:54 PM,00:02:05,,,,Enter Notes
2023-09-14 05:36:03 PM,69.2,56.8,47.9,989.7,194,989.9,0.0,67.5,48.6,489,--,--,--,--,69.1,session,"Session - Sep 14, 2023 5:34:54 PM",2023-09-14 05:34:54 PM 5:34:54 PM,00:02:05,,,,Enter Notes
2023-09-14 05:36:08 PM,69.2,57.0,47.8,989.7,196,989.7,0.0,67.5,48.6,492,--,--,--,--,69.1,session,"Session - Sep 14, 2023 5:34:54 PM",2023-09-14 05:34:54 PM 5:34:54 PM,00:02:05,,,,Enter Notes
2023-09-14 05:36:13 PM,69.3,57.0,47.9,989.5,197,989.6,0.0,67.8,48.7,494,--,--,--,--,69.3,session,"Session - Sep 14, 2023 5:34:54 PM",2023-09-14 05:34:54 PM 5:34:54 PM,00:02:05,,,,Enter Notes
2023-09-14 05:36:18 PM,69.3,57.0,47.9,989.4,198,989.4,0.0,67.8,48.7,497,--,--,--,--,69.3,session,"Session - Sep 14, 2023 5:34:54 PM",2023-09-14 05:34:54 PM 5:34:54 PM,00:02:05,,,,Enter Notes
2023-09-14 05:36:23 PM,69.3,57.0,47.8,989.2,200,989.3,0.0,67.8,48.7,499,--,--,--,--,69.3,session,"Session - Sep 14, 2023 5:34:54 PM",2023-09-14 05:34:54 PM 5:34:54 PM,00:02:05,,,,Enter Notes
2023-09-14 05:36:28 PM,69.3,57.0,47.9,989.2,200,989.2,0.0,67.8,48.8,500,--,--,--,--,69.3,session,"Session - Sep 14, 2023 5:34:54 PM",2023-09-14 05:34:54 PM 5:34:54 PM,00:02:05,,,,Enter Notes
2023-09-14 05:36:33 PM,69.4,57.2,47.9,989.0,201,989.0,0.0,67.8,48.8,502,--,--,--,--,69.3,session,"Session - Sep 14, 2023 5:34:54 PM",2023-09-14 05:34:54 PM 5:34:54 PM,00:02:05,,,,Enter Notes
2023-09-14 05:36:38 PM,69.4,57.2,48.1,988.7,203,988.9,0.0,68.0,49.0,505,--,--,--,--,69.4,session,"Session - Sep 14, 2023 5:34:54 PM",2023-09-14 05:34:54 PM 5:34:54 PM,00:02:05,,,,Enter Notes
2023-09-14 05:36:43 PM,69.6,57.4,48.2,988.7,205,988.7,0.0,68.0,49.2,510,--,--,--,--,69.4,session,"Session - Sep 14, 2023 5:34:54 PM",2023-09-14 05:34:54 PM 5:34:54 PM,00:02:05,,,,Enter Notes
2023-09-14 05:36:48 PM,69.7,57.5,48.4,988.5,205,988.6,0.0,68.4,49.4,514,--,--,--,--,69.6,session,"Session - Sep 14, 2023 5:34:54 PM",2023-09-14 05:34:54 PM 5:34:54 PM,00:02:05,,,,Enter Notes
2023-09-14 05:36:53 PM,70.0,58.3,50.1,988.7,205,988.7,0.0,69.1,50.6,520,--,--,--,--,70.0,session,"Session - Sep 14, 2023 5:34:54 PM",2023-09-14 05:34:54 PM 5:34:54 PM,00:02:05,,,,Enter Notes
2023-09-14 05:36:58 PM,70.2,59.2,53.2,988.7,205,988.7,0.0,69.4,52.4,527,--,--,--,--,70.2,session,"Session - Sep 14, 2023 5:34:54 PM",2023-09-14 05:34:54 PM 5:34:54 PM,00:02:05,,,,Enter Notes
